20180401 210000;1.232190;1.232280;1.232140;1.232280;0
20180401 210100;1.232320;1.232390;1.232280;1.232280;0
20180401 210200;1.232290;1.232580;1.232290;1.232410;0
20180401 210300;1.232390;1.232510;1.232390;1.232510;0
20180401 210400;1.232530;1.232660;1.232490;1.232490;0
20180401 210500;1.232500;1.232600;1.232430;1.232430;0
20180401 210600;1.232460;1.232560;1.232390;1.232440;0
20180401 210700;1.232430;1.232560;1.232430;1.232540;0
20180401 210800;1.232560;1.232580;1.232430;1.232470;0
20180401 210900;1.232480;1.232490;1.232450;1.232460;0
20180401 211000;1.232500;1.232610;1.232500;1.232580;0
20180401 211100;1.232590;1.232660;1.232580;1.232610;0
20180401 211200;1.232590;1.232700;1.232570;1.232700;0
20180401 211300;1.232710;1.232720;1.232570;1.232590;0
20180401 211400;1.232580;1.232610;1.232510;1.232540;0
20180401 211500;1.232540;1.232590;1.232500;1.232500;0
20180401 211600;1.232510;1.232560;1.232500;1.232500;0
20180401 211700;1.232460;1.232460;1.232460;1.232460;0
20180401 211800;1.232470;1.232500;1.232460;1.232500;0
20180401 211900;1.232490;1.232490;1.232490;1.232490;0
20180401 212000;1.232460;1.232590;1.232450;1.232540;0
20180401 212100;1.232530;1.232540;1.232440;1.232470;0
20180401 212200;1.232480;1.232480;1.232450;1.232470;0
20180401 212300;1.232480;1.232480;1.232410;1.232410;0
20180401 212400;1.232400;1.232400;1.232400;1.232400;0
20180401 212500;1.232410;1.232460;1.232410;1.232460;0
20180401 212600;1.232460;1.232520;1.232460;1.232520;0
20180401 212700;1.232510;1.232660;1.232500;1.232660;0
20180401 212800;1.232670;1.232680;1.232660;1.232680;0
20180401 212900;1.232670;1.232720;1.232580;1.232670;0
20180401 213000;1.232660;1.232710;1.232630;1.232680;0
20180401 213100;1.232670;1.232670;1.232590;1.232590;0
20180401 213200;1.232610;1.232810;1.232610;1.232730;0
20180401 213300;1.232720;1.232760;1.232610;1.232640;0
20180401 213400;1.232660;1.232780;1.232660;1.232760;0
20180401 213500;1.232770;1.232780;1.232660;1.232730;0
20180401 213600;1.232710;1.232750;1.232700;1.232710;0
20180401 213700;1.232720;1.232720;1.232610;1.232610;0
20180401 213800;1.232620;1.232690;1.232620;1.232680;0
20180401 213900;1.232640;1.232640;1.232580;1.232580;0
20180401 214000;1.232590;1.232670;1.232580;1.232600;0
20180401 214100;1.232610;1.232710;1.232610;1.232690;0
20180401 214200;1.232680;1.232700;1.232650;1.232650;0
20180401 214300;1.232670;1.232710;1.232670;1.232710;0
20180401 214400;1.232700;1.232740;1.232700;1.232730;0
20180401 214500;1.232750;1.232760;1.232690;1.232710;0
20180401 214600;1.232720;1.232730;1.232630;1.232630;0
20180401 214700;1.232620;1.232650;1.232550;1.232570;0
20180401 214800;1.232560;1.232580;1.232490;1.232510;0
20180401 214900;1.232520;1.232660;1.232520;1.232660;0
20180401 215000;1.232660;1.232660;1.232620;1.232630;0
20180401 215100;1.232610;1.232710;1.232570;1.232710;0
20180401 215200;1.232720;1.232760;1.232690;1.232690;0
20180401 215300;1.232670;1.232760;1.232620;1.232740;0
20180401 215400;1.232750;1.232770;1.232660;1.232670;0
20180401 215500;1.232680;1.232700;1.232650;1.232690;0
20180401 215600;1.232680;1.232690;1.232680;1.232680;0
20180401 215700;1.232660;1.232670;1.232560;1.232560;0
20180401 215800;1.232570;1.232630;1.232570;1.232630;0
20180401 215900;1.232610;1.232620;1.232610;1.232620;0
20180401 220000;1.232620;1.232620;1.232560;1.232560;0
20180401 220100;1.232560;1.232710;1.232560;1.232700;0
20180401 220200;1.232720;1.232720;1.232700;1.232710;0
20180401 220300;1.232720;1.232780;1.232720;1.232770;0
20180401 220400;1.232760;1.232770;1.232680;1.232680;0
20180401 220500;1.232670;1.232680;1.232670;1.232670;0
20180401 220600;1.232680;1.232680;1.232570;1.232570;0
20180401 220700;1.232620;1.232630;1.232600;1.232600;0
20180401 220800;1.232610;1.232610;1.232530;1.232530;0
20180401 220900;1.232510;1.232530;1.232430;1.232470;0
20180401 221000;1.232480;1.232480;1.232430;1.232430;0
20180401 221100;1.232420;1.232420;1.232330;1.232330;0
20180401 221200;1.232330;1.232330;1.232330;1.232330;0
20180401 221300;1.232310;1.232420;1.232310;1.232420;0
20180401 221400;1.232430;1.232440;1.232380;1.232380;0
20180401 221500;1.232380;1.232380;1.232330;1.232370;0
20180401 221600;1.232350;1.232350;1.232340;1.232340;0
20180401 221700;1.232310;1.232310;1.232310;1.232310;0
20180401 221800;1.232290;1.232290;1.232280;1.232280;0
20180401 221900;1.232260;1.232260;1.232260;1.232260;0
20180401 222000;1.232280;1.232320;1.232280;1.232280;0
20180401 222100;1.232270;1.232270;1.232260;1.232260;0
20180401 222200;1.232270;1.232270;1.232260;1.232270;0
20180401 222300;1.232280;1.232310;1.232270;1.232280;0
20180401 222400;1.232280;1.232280;1.232230;1.232260;0
20180401 222500;1.232270;1.232270;1.232220;1.232270;0
20180401 222600;1.232300;1.232310;1.232280;1.232290;0
20180401 222700;1.232320;1.232340;1.232270;1.232280;0
20180401 222800;1.232290;1.232300;1.232280;1.232290;0
20180401 222900;1.232280;1.232280;1.232230;1.232230;0
20180401 223000;1.232230;1.232230;1.232210;1.232210;0
20180401 223100;1.232200;1.232200;1.232120;1.232130;0
20180401 223200;1.232120;1.232140;1.232090;1.232120;0
20180401 223300;1.232110;1.232170;1.232080;1.232170;0
20180401 223400;1.232180;1.232180;1.232180;1.232180;0
20180401 223500;1.232170;1.232170;1.232170;1.232170;0
20180401 223600;1.232200;1.232210;1.232180;1.232210;0
20180401 223700;1.232210;1.232210;1.232150;1.232180;0
20180401 223800;1.232160;1.232180;1.232140;1.232170;0
20180401 223900;1.232180;1.232220;1.232180;1.232220;0
20180401 224000;1.232210;1.232230;1.232180;1.232220;0
20180401 224100;1.232220;1.232230;1.232190;1.232220;0
20180401 224200;1.232220;1.232230;1.232220;1.232230;0
20180401 224400;1.232220;1.232230;1.232200;1.232230;0
